,Edition,Athlete,NOC,Medal
2330,1912,"SZÜTS, Ferenc",HUN,Silver
2331,1912,"TERY, Ödön",HUN,Silver
2332,1912,"TULI, Géza",HUN,Silver
2333,1912,"ANDERSEN, Axel Sigurd",DEN,Bronze
2334,1912,"ANDERSEN, Hjalmart Nörregaard",DEN,Bronze
2335,1912,"BIRCH, Halvor",DEN,Bronze
2336,1912,"GRIMMELMANN, Hermann Johan",DEN,Bronze
2337,1912,"HANSEN, Aage Marius",DEN,Bronze
2338,1912,"HANSEN, Arvor",DEN,Bronze
2339,1912,"HANSEN, Christian Marius",DEN,Bronze
2340,1912,"JENSEN, Charles Christopher",DEN,Bronze
2341,1912,"JOHANSEN, Hjalmar Peter Martin",DEN,Bronze
2342,1912,"JÖRGENSEN, Poul Preben",DEN,Bronze
2343,1912,"JUUL-PETERSEN, Carl Julius",DEN,Bronze
2344,1912,"KREBS, Carl Immanuel",DEN,Bronze
2345,1912,"MADSEN, Svend Meulengracht",DEN,Bronze
2346,1912,"MÖLGAARD, Thomas Fredrik Hannibal",DEN,Bronze
2347,1912,"NIELSEN, Lukas Frederick Christian",DEN,Bronze
2348,1912,"NORDSTRÖM, Rikard Hannibal Wilhelm",DEN,Bronze
2349,1912,"OLSEN, Oluf",DEN,Bronze
2350,1912,"OLSEN, Steen Lerche",DEN,Bronze
2351,1912,"PETERSEN, Christian Edvin Oluf",DEN,Bronze
2352,1912,"PETERSEN, Niels Knudsen",DEN,Bronze
2353,1912,"SVENDSEN, Christian Valdemar",DEN,Bronze
2354,1912,"ABRAHAMSEN, Isak",NOR,Gold
2355,1912,"BEYER, Hans",NOR,Gold
2356,1912,"BJÖRNSSON, Hartmann",NOR,Gold
2357,1912,"DAHL, John",NOR,Gold
2358,1912,"ENGELSEN, Alfred",NOR,Gold
2359,1912,"JOHNSEN, Bjarne",NOR,Gold
2360,1912,"JÖRGENSEN, Sigurd",NOR,Gold
2361,1912,"KNUDSEN, Knud Leonard",NOR,Gold
2362,1912,"LIE, Alf",NOR,Gold
2363,1912,"LIE, Rolf",NOR,Gold
2364,1912,"LUND, Tor",NOR,Gold
2365,1912,"MARTINSEN, Petter",NOR,Gold
2366,1912,"MATHIESEN, Per Anton",NOR,Gold
2367,1912,"OPDAHL, Jacob",NOR,Gold
2368,1912,"OPDAHL, Nils",NOR,Gold
2369,1912,"PETTERSEN, Bjarne Viktor",NOR,Gold
2370,1912,"SAELEN, Frithjof",NOR,Gold
2371,1912,"SCHIRMER, Öistein",NOR,Gold
2372,1912,"SELENIUS, Georg",NOR,Gold
2373,1912,"SIVERTSEN, Sigvard",NOR,Gold
2374,1912,"SJURSEN, Robert",NOR,Gold
2375,1912,"STRÖM, Einar",NOR,Gold
2376,1912,"THORSTENSEN, Gabriel",NOR,Gold
2377,1912,"THORSTENSEN, Thomas",NOR,Gold
2378,1912,"VOSS, Nils",NOR,Gold
2379,1912,"EKHOLM, Kaarlo Väinö",FIN,Silver
2380,1912,"FORSSTRÖM, Eino Vilho",FIN,Silver
2381,1912,"HYVÄRINEN, Eero",FIN,Silver
2382,1912,"HYVÄRINEN, Mikko",FIN,Silver
2383,1912,"ILMONIEMI, Tauno",FIN,Silver
2384,1912,"KEINÄNEN, Ilmari",FIN,Silver
2385,1912,"KIVENHEIMO, Hjalmari",FIN,Silver
2386,1912,"LUND, Karl Fredrik",FIN,Silver
2387,1912,"PELKONEN, Aarne",FIN,Silver
